Subj,Treatment,Drug,Time.Bottom,Time.Top,AbsoluteTurnAngle,Freezing,Speed
W1,CTRL,0,188.993096909153,113.637287475249,28.5771582805417,25.0209888739744,7.29725885743293
W2,CTRL,0,166.552411270353,118.406785055777,28.3445266935546,9.6063401026959,6.37525951387161
W3,CTRL,0,177.707245817496,118.75650586849,32.0605136214089,0,6.84644835434179
W4,CTRL,0,177.821412434298,106.56428478927,21.6471018044416,9.55765137579343,7.46521301145731
W5,CTRL,0,166.569717806057,113.595709599718,18.4413876632889,0,7.13133909565296
W6,CTRL,0,165.646135782653,105.927350055298,25.5086323231043,22.7357878745229,5.85860528308205
W7,CTRL,0,170.421291153172,113.790908863658,26.0926370544217,0,7.68033119762576
W8,CTRL,0,163.686992241869,129.95616493478,25.9384748372928,0,6.97168544671972
X1,ARS,0,204.655750471057,49.9737670754296,31.2795456489426,32.1446180249863,6.386569521957
X2,ARS,0,209.018082326318,11.9782267870188,31.9279678995824,0,6.79991920682758
X3,ARS,0,197.506810858494,33.8298610522958,28.2026976998909,30.5386094412718,6.41323581038119
X4,ARS,0,268.176517139927,12.311672876465,25.4133081889378,27.7801875478172,7.46155736123202
X5,ARS,0,293.007022184001,30.2362242025261,23.4227957189156,25.9111869816361,5.02172864905647
X6,ARS,0,279.891457015873,48.4387881296238,33.564629361272,27.6880584731277,7.30291150873442
X7,ARS,0,258.939285037665,26.1157538773974,33.5090585193445,29.2517599706457,7.66108110660038
X8,ARS,0,215.649072968006,20.7152495460057,29.0232271381831,26.6300722486501,5.91078420309216
Y1,CTRL,2,178.082109775574,119.713405912339,34.5244800582227,0,5.10138575062816
Y2,CTRL,2,150.632066593376,107.704553159465,31.7654669889888,0,7.40300126679964
Y3,CTRL,2,182.77180454129,120.42161889432,37.9359098066816,17.3102626560362,7.71616502024614
Y4,CTRL,2,229.602806663557,110.26784371129,18.2312479874454,0,7.24335671397192
Y5,CTRL,2,175.790912447741,110.399973372298,24.1371548478042,30.0154308458714,7.39828668781426
Y6,CTRL,2,225.455908436246,131.542283121419,23.881309279585,0,6.85578250178362
Y7,CTRL,2,214.465083785418,128.651864940685,36.5657327627646,0,7.4976715181407
Y8,CTRL,2,217.477388917414,143.636711073728,35.053794598556,36.9006408859034,7.07635811288131
Z1,ARS,2,219.398516136827,14.0739700558311,19.5584004274396,30.7034820422861,5.57740291714818
Z2,ARS,2,141.958615519272,23.7024621954223,25.1206375979338,0,5.13461145354405
Z3,ARS,2,277.549252356456,45.6510078082587,34.5457453732752,22.8251840994667,6.22653290145202
Z4,ARS,2,189.099374968526,17.3684887106688,28.3617029517315,33.7817345211996,6.61500011762942
Z5,ARS,2,220.291057680616,39.5425540148639,34.4417428678571,37.938176364445,7.70930031210109
Z6,ARS,2,122.717807140898,34.3471097179391,22.1300720783251,20.7776510076889,7.12372601423149
Z7,ARS,2,116.551478204652,46.4361120035892,17.6568299713975,25.2297428187675,6.20142701910858
Z8,ARS,2,118.285281444909,19.6492017171439,34.4437975053526,35.6218468330931,7.97109119278862
