Subj,Group,Stimulus,Angle,Rproj
C1,CTRL,ON,"155,593547565406","0,16"
C1,CTRL,OFF,"167,118299316351","0,04"
C2,CTRL,ON,"142,100015829269","0,16"
C2,CTRL,OFF,"40,301959056964","0,02"
C3,CTRL,ON,"184,863141759351","0,15"
C3,CTRL,OFF,"168,362480583318","0,01"
C4,CTRL,ON,"175,396482399787","0,20"
C4,CTRL,OFF,"282,846612460143","0,03"
C5,CTRL,ON,"154,845328062553","0,17"
C5,CTRL,OFF,"189,760799315029","0,02"
C6,CTRL,ON,"178,297569624833","0,17"
C6,CTRL,OFF,"117,323337269071","0,01"
C7,CTRL,ON,"170,353627532477","0,20"
C7,CTRL,OFF,"43,0823453215341","0,01"
C8,CTRL,ON,"179,407982208025","0,15"
C8,CTRL,OFF,"209,648067619612","0,02"
C9,CTRL,ON,"156,730647814685","0,20"
C9,CTRL,OFF,"259,662337211105","0,02"
C10,CTRL,ON,"169,261771467374","0,18"
C10,CTRL,OFF,"282,104231120277","0,03"
A1,CAS,ON,"48,290455603883","-0,11"
A1,CAS,OFF,"202,62483703371","0,08"
A2,CAS,ON,"35,8771693965125","-0,11"
A2,CAS,OFF,"134,039613954551","0,11"
A3,CAS,ON,"14,961914300924","-0,11"
A3,CAS,OFF,"308,219770134979","0,1"
A4,CAS,ON,"25,495279829646","-0,14"
A4,CAS,OFF,"126,501466337854","0,05"
A5,CAS,ON,"65,8417787408319","-0,13"
A5,CAS,OFF,"352,072428318995","0,07"
A6,CAS,ON,"316,604807820066","0,08"
A6,CAS,OFF,"258,331661737826","0,07"
A7,CAS,ON,"19,591989039631","-0,15"
A7,CAS,OFF,"232,285242690274","0,1"
A8,CAS,ON,"358,001190638593","-0,13"
A8,CAS,OFF,"233,006090144533","0,13"
A9,CAS,ON,"356,891161300018","0,12"
A9,CAS,OFF,"295,112787305393","0,08"
