Group,Subj,Mean_gray,Average_area,percent_area
CTRL,Zebrafish 2,7.124,166.251,12.33
CTRL,Zebrafish 3,7.689,280.556,11.4
CTRL,Zebrafish 5,6.996,189.32,3.223
CTRL,Zebrafish 8,3.366,191.942,6.984
CTRL,Zebrafish 10,8.067,194.203,3.55
CTRL,Zebrafish 12,5.297,57.975,7.062
CTRL,Zebrafish 13,5.984,196.133,2.921
CTRL,Zebrafish 15,5.289,167.809,12.911
CTRL,Zebrafish 16,3.059,147.062,8.879
CTRL,Zebrafish 18,2.453,172.298,6.314
CAS,Zebrafish 1,3.33,193.314,10.51
CAS,Zebrafish 4,4.096,155.766,3.33
CAS,Zebrafish 6,8.981,115.121,2.797
CAS,Zebrafish 7,6.753,215.865,7.7
CAS,Zebrafish 9,7.729,234.116,6.431
CAS,Zebrafish 11,11.213,165.649,4.15
CAS,Zebrafish 14,5.722,96.336,6.469
CAS,Zebrafish 17,8.413,61.651,6.307
CAS,Zebrafish 19,3.541,50.954,7.452
CAS,Zebrafish 20,12.285,104.265,8.232
